Date,High,Low,Open,Close,Volume,Adj Close
2020-01-02,180.8000030517578,177.13999938964844,177.5,180.7899932861328,2857400,180.7899932861328
2020-01-03,179.8300018310547,177.41000366210938,178.33999633789062,178.86000061035156,2805200,178.86000061035156
2020-01-06,178.3800048828125,176.92999267578125,177.83999633789062,177.50999450683594,3277900,177.50999450683594
2020-01-07,178.07000732421875,175.58999633789062,177.3699951171875,177.61000061035156,3002800,177.61000061035156
2020-01-08,179.10000610351562,176.72999572753906,177.6699981689453,177.75999450683594,2545500,177.75999450683594
2020-01-09,179.42999267578125,178.05999755859375,178.6999969482422,179.07000732421875,1789500,179.07000732421875
2020-01-10,179.89999389648438,178.13999938964844,179.89999389648438,178.67999267578125,1671700,178.67999267578125
2020-01-13,181.33999633789062,178.69000244140625,179.25,181.27000427246094,2261900,181.27000427246094
2020-01-14,181.22000122070312,179.50999450683594,180.49000549316406,180.4499969482422,2191200,180.4499969482422
2020-01-15,182.44000244140625,179.85000610351562,181.2899932861328,180.72999572753906,2600800,180.72999572753906
2020-01-16,182.49000549316406,180.7899932861328,181.5,182.25999450683594,2215400,182.25999450683594
2020-01-17,184.05999755859375,182.52999877929688,182.86000061035156,183.22999572753906,2608000,183.22999572753906
2020-01-21,183.3000030517578,180.47000122070312,183.0399932861328,180.92999267578125,2188600,180.92999267578125
2020-01-22,181.8800048828125,179.80999755859375,181.55999755859375,180.0500030517578,1881700,180.0500030517578
2020-01-23,180.5399932861328,179.02999877929688,179.80999755859375,179.5800018310547,2434000,179.5800018310547
2020-01-24,180.25999450683594,176.49000549316406,179.9199981689453,177.1300048828125,2737000,177.1300048828125
2020-01-27,175.33999633789062,173.47000122070312,174.27000427246094,173.5399932861328,2491500,173.5399932861328
2020-01-28,176.75,173.24000549316406,174.1199951171875,175.4600067138672,2178400,175.4600067138672
2020-01-29,177.74000549316406,175.6300048828125,177.0,175.6699981689453,2199000,175.6699981689453
2020-01-30,178.77000427246094,173.8000030517578,173.8000030517578,178.33999633789062,3076100,178.33999633789062
2020-01-31,177.91000366210938,171.33999633789062,177.91000366210938,173.22000122070312,5500000,173.22000122070312
2020-02-03,175.6199951171875,170.6699981689453,174.4600067138672,171.32000732421875,3542700,171.32000732421875
2020-02-04,176.05999755859375,174.0,174.0800018310547,175.2100067138672,2992500,175.2100067138672
2020-02-05,177.6300048828125,175.39999389648438,176.91000366210938,176.89999389648438,2818100,176.89999389648438
2020-02-06,178.0,176.16000366210938,178.0,176.35000610351562,2427500,176.35000610351562
2020-02-07,176.72000122070312,174.6999969482422,175.85000610351562,175.27999877929688,3254500,175.27999877929688
